File Processed: TheOdyssey.txt

Total Words Processed: 117219
Total Different Words: 8839

WORD                  FREQUENCY     FREQ %
augur                    6           0.005
auguries                 2           0.002
augurs                   1           0.001
august                   2           0.002
aurora                  16           0.014
auspicious               4           0.003
auster                   1           0.001
austere                  1           0.001
author                   5           0.004
authority                1           0.001
autolyci                 1           0.001
autolycus                4           0.003
autonoe                  1           0.001
autumn                   3           0.003
autumnal                 2           0.002
autumns                  1           0.001
auxiliar                 6           0.005
avail                    3           0.003
avails                   2           0.002
avaunt                   1           0.001
ave                      1           0.001
avenge                   8           0.007
avenger                  2           0.002
avenging                 8           0.007
averr                    1           0.001
averse                   7           0.006
avert                    4           0.003
averting                 1           0.001
avow                     9           0.008
avows                    2           0.002
await                    2           0.002
awaits                   2           0.002
awake                    2           0.002
awaked                   2           0.002
awaken                   1           0.001
awakens                  1           0.001
awakes                   5           0.004
awaking                  1           0.001
award                    3           0.003
away                    79           0.067
awe                      9           0.008
awed                     9           0.008
awes                     2           0.002
awful                   17           0.015
awfully                  1           0.001
awhile                   8           0.007
awkward                  1           0.001
axe                      6           0.005
axes                     1           0.001
axle                     2           0.002
azure                   23           0.020
b                        3           0.003
babbling                 1           0.001
babe                     2           0.002
bacchus                  2           0.002
back                    46           0.039
backward                 9           0.008
bad                      3           0.003
bade                    14           0.012
badge                    1           0.001
baffled                  1           0.001
bag                      1           0.001
bags                     1           0.001
bait                     1           0.001
balance                  2           0.002
baldness                 1           0.001
balk                     1           0.001
ball                     8           0.007
balls                    3           0.003
balm                     2           0.002
balmy                   15           0.013
band                    41           0.035
bandage                  1           0.001
banded                   1           0.001
bands                   14           0.012
bane                     1           0.001
baneful                  2           0.002
banish                  11           0.009
banished                 1           0.001
bank                     7           0.006
banks                    5           0.004
banquet                 41           0.035
banquets                 2           0.002
bar                      2           0.002
barb                     1           0.001
barbarians               3           0.003
barbaric                 1           0.001
barbarous                6           0.005
barbed                   1           0.001
bard                    17           0.015
bards                    1           0.001
bare                     4           0.003
bared                    1           0.001
bares                    1           0.001
bark                    28           0.024
barks                    1           0.001
barley                   2           0.002
barr                     1           0.001
barren                   7           0.006
barrier                  1           0.001
bars                     2           0.002
base                    20           0.017
based                    1           0.001
basely                   1           0.001
baseness                 2           0.002
basest                   1           0.001
bask                     1           0.001
basket                   1           0.001
baskets                  1           0.001
basks                    1           0.001
bason                    1           0.001
basons                   1           0.001
bat                      1           0.001
bath                    16           0.014
bathe                   12           0.010
bathed                   4           0.003
bathes                   5           0.004
bathing                  2           0.002
bats                     1           0.001
battening                1           0.001
batter                   2           0.002
battered                 2           0.002
battle                  11           0.009
battlements              2           0.002
battles                  1           0.001
bay                     28           0.024
bays                     2           0.002
be                     226           0.193
beach                    4           0.003
beacon                   1           0.001
bead                     2           0.002
beaker                   2           0.002
beam                    11           0.009
beaming                  3           0.003
beams                    9           0.008
beamy                    8           0.007
bear                    82           0.070
beard                    1           0.001
bearded                  2           0.002
bearing                  1           0.001
bears                   29           0.025
beast                    6           0.005
beasts                  10           0.009
beat                    17           0.015
beaten                   1           0.001
beating                  9           0.008
beats                    3           0.003
beauteous               28           0.024
beauties                 2           0.002
beautiful                1           0.001
beautifully              1           0.001
beauty                  20           0.017
bebold                   1           0.001
becalm                   1           0.001
becalms                  1           0.001
became                   1           0.001
because                  1           0.001
beck                     1           0.001
beckon                   1           0.001
beckoning                1           0.001
become                   2           0.002
becomes                  3           0.003
bed                     68           0.058
bedew                    5           0.004
bedews                   1           0.001
bedimm                   1           0.001
bedow                    1           0.001
beds                     4           0.003
been                    12           0.010
bees                     2           0.002
beeves                  10           0.009
befell                   1           0.001
befit                    1           0.001
befits                   2           0.002
before                 113           0.096
beforehand               1           0.001
befriend                 2           0.002
befriended               1           0.001
befriends                1           0.001
beg                      3           0.003
began                   51           0.044
begg                     2           0.002
beggar                   6           0.005
begging                  1           0.001
begin                    3           0.003
begins                   7           0.006
begone                   4           0.003
begot                    1           0.001
beguile                  2           0.002
beguiled                 2           0.002
beguiles                 1           0.001
begun                   12           0.010
behaviour                1           0.001
beheld                  15           0.013
behest                   4           0.003
behests                  2           0.002
behind                  29           0.025
behold                  41           0.035
beholders                1           0.001
beholds                  7           0.006
being                    3           0.003
belch                    1           0.001
beleaguer                1           0.001
belied                   1           0.001
belief                   1           0.001
belies                   3           0.003
believe                  4           0.003
bellowing                3           0.003
bellows                  2           0.002
belong                   6           0.005
belongs                  7           0.006
beloved                 13           0.011
below                   35           0.030
belt                     1           0.001
bend                    30           0.026
bended                   2           0.002
bending                 11           0.009
bends                   17           0.015
beneath                 95           0.081
beneficent               1           0.001
benevolence              1           0.001
benevolent               6           0.005
benign                   1           0.001
bent                     8           0.007
bequeath                 4           0.003
bereaved                 2           0.002
bereft                   1           0.001
beset                    1           0.001
beside                  13           0.011
besides                  1           0.001
besiege                  1           0.001
besieged                 1           0.001
besmear                  3           0.003
bespoke                  8           0.007
best                    30           0.026
bestial                  1           0.001
bestow                  32           0.027
bestowed                 2           0.002
bestows                  7           0.006
bestreak                 1           0.001
bestrew                  2           0.002
bestrides                1           0.001
bestrown                 1           0.001
betakes                  2           0.002
betide                   1           0.001
betray                  14           0.012
betrays                  1           0.001
better                  28           0.024
betters                  2           0.002
between                 10           0.009
beverage                 4           0.003
bevy                     2           0.002
bewails                  1           0.001
beware                   4           0.003
bewilder                 1           0.001
beyond                  11           0.009
bias                     1           0.001
bid                     35           0.030
bidding                  1           0.001
bids                    19           0.016
bier                     1           0.001
big                     13           0.011
billows                 30           0.026
binary                   1           0.001
bind                     9           0.008
binds                    4           0.003
bird                     8           0.007
birds                    4           0.003
birth                   17           0.015
births                   1           0.001
bitter                   5           0.004
bitterness               2           0.002
black                   26           0.022
blacken                  2           0.002
blackening               3           0.003
blackens                 5           0.004
blackest                 1           0.001
blade                    5           0.004
blame                    7           0.006
blameless                7           0.006
blandishment             3           0.003
blandishments            1           0.001
blank                    3           0.003
blaspheme                1           0.001
blasphemies              1           0.001
blast                   11           0.009
blasted                  1           0.001
blasts                   3           0.003
blaze                   16           0.014
blazed                   9           0.008
blazes                   2           0.002
blazing                 11           0.009
blazon                   1           0.001
bleak                    3           0.003
bleating                 5           0.004
bled                    14           0.012
bleed                   37           0.032
bleeding                 5           0.004
bleeds                   8           0.007
blemish                  1           0.001
blend                    2           0.002
bless                   71           0.061
blessed                  2           0.002
blesses                  2           0.002
blessing                18           0.015
blessings                9           0.008
blest                   26           0.022
blew                     2           0.002
blind                   12           0.010
blindly                  3           0.003
bliss                    8           0.007
blissful                14           0.012
blithe                   2           0.002
bloated                  1           0.001
blood                   82           0.070
bloodless                1           0.001
bloody                  15           0.013
bloom                   19           0.016
blooming                24           0.020
blooms                   5           0.004
bloomy                   3           0.003
blow                    16           0.014
blown                    1           0.001
blows                    8           0.007
blue                    13           0.011
blush                    8           0.007
blushes                  2           0.002
blushing                 2           0.002
bluster                  1           0.001
blustering               2           0.002
boar                    18           0.015
board                   36           0.031
boards                   1           0.001
boars                    2           0.002
boast                   33           0.028
boasted                  2           0.002
boaster                  2           0.002
boasters                 2           0.002
boasts                   3           0.003
bodies                   1           0.001
boding                   3           0.003
bodings                  1           0.001
body                    11           0.009
boethoedes               1           0.001
boil                     4           0.003
boiling                  7           0.006
boisterous               2           0.002
bold                    59           0.050
bolder                   1           0.001
boldest                  3           0.003
boldly                   2           0.002
boldness                 4           0.003
bole                     1           0.001
bolt                     9           0.008
bolted                   2           0.002
bondage                  3           0.003
bonds                    1           0.001
bone                     3           0.003
bones                    3           0.003
book                    27           0.023
books                    1           0.001
booming                  1           0.001
boon                    10           0.009
boots                    1           0.001
borders                  1           0.001
bore                    62           0.053
boreal                   2           0.002
boreas                   6           0.005
born                    31           0.026
borne                   13           0.011
borrow                   1           0.001
bosom                   39           0.033
bosoms                   1           0.001
both                    17           0.015
bottom                   2           0.002
boughs                   3           0.003
bought                   3           0.003
bound                   34           0.029
bounded                  1           0.001
bounding                14           0.012
boundless               11           0.009
bounds                  18           0.015
bounteous               11           0.009
bounties                 7           0.006
bounty                  12           0.010
bow                     66           0.056
bowels                   3           0.003
bower                   36           0.031
bowers                  12           0.010
bowery                   2           0.002
bowing                   1           0.001
bowl                    45           0.038
bowls                    8           0.007
bows                     8           0.007
bowyer                   2           0.002
boy                     16           0.014
boys                     1           0.001
brace                    1           0.001
braced                   3           0.003
bracelet                 1           0.001
brackish                 2           0.002
brain                    7           0.006
brains                   4           0.003
bran                     1           0.001
branch                   4           0.003
branches                 4           0.003
branching                1           0.001
branchy                  2           0.002
brand                    4           0.003
brandish                 3           0.003
brass                   19           0.016
brave                   63           0.054
bravely                  2           0.002
braver                   1           0.001
bravest                  2           0.002
brawny                   2           0.002
brazen                  12           0.010
breach                   3           0.003
bread                   24           0.020
break                    6           0.005
breaking                 1           0.001
breaks                   4           0.003
breast                  95           0.081
breasts                  1           0.001
breath                  20           0.017
breathe                 14           0.012
breathed                12           0.010
breathes                21           0.018
breathing                9           0.008
breathless               6           0.005
bred                     8           0.007
brede                    1           0.001
breed                    5           0.004
breeding                 1           0.001
breeds                   1           0.001
breeze                   8           0.007
breezes                  4           0.003
breezy                   3           0.003
brethren                 3           0.003
bribe                    2           0.002
bribed                   1           0.001
bribes                   1           0.001
bridal                  33           0.028
bride                   16           0.014
bridegroom               1           0.001
briefest                 1           0.001
bright                  55           0.047
brighten                 4           0.003
brightening              3           0.003
brighter                 3           0.003
brightest                2           0.002
brightly                 1           0.001
brimming                 4           0.003
brindled                 1           0.001
bring                   37           0.032
brings                  21           0.018
briny                    5           0.004
brisker                  1           0.001
bristle                  2           0.002
bristled                 1           0.001
bristles                 1           0.001
bristly                 10           0.009
broachers                1           0.001
broad                   24           0.020
broadest                 1           0.001
broil                    1           0.001
broils                   1           0.001
broke                   19           0.016
broken                   4           0.003
brood                    3           0.003
brooding                 2           0.002
brooks                   1           0.001
brother                 21           0.018
brothers                 6           0.005
brought                 22           0.019
brow                    19           0.016
brown                    4           0.003
brows                    8           0.007
browse                   1           0.001
browsing                 1           0.001
brush                    3           0.003
brutal                   5           0.004
brutian                  1           0.001
bubble                   1           0.001
bubbles                  1           0.001
bubbling                 3           0.003
buckler                  2           0.002
bucklers                 2           0.002
budding                  2           0.002
buds                     2           0.002
build                    5           0.004
buildings                1           0.001
builds                   2           0.002
built                    4           0.003
bulk                     6           0.005
bulky                    1           0.001
bull                     5           0.004
bullock                  5           0.004
bulls                    2           0.002
bulwarks                 1           0.001
burden                   6           0.005
buried                   1           0.001
burn                    12           0.010
burning                 11           0.009
burnish                  4           0.003
burns                   16           0.014
